# dQ/dU per-beam mean correction factors
# Generated  : 2026-04-01 23:15
# Source CSV : /Users/raj030/DATA/reffield-average/assess_1934-ref_ws-4788/leakage_master_table.csv
# Selection  : manifest indices 14–55, excl '24-29'
# SB_REFs    : 36 contributing observations
# Ref WS     : 4788  (weights.ref_ws, holography SB)
# Footprint  : closepack36
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +0.7393    0.2520    -1.2916    0.0536      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    +0.4434    0.0699    +0.1782    0.0080      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    -0.7302    0.1352    -0.0975    0.0325      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    -0.0573    0.1215    +0.4199    0.0147      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    +0.3992    0.1402    +0.6019    0.0105      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    -0.1336    0.0846    +0.4989    0.0492      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    +0.5265    0.0882    -0.0216    0.0209      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    +0.3423    0.0782    -0.5015    0.0254      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    +0.0107    0.0896    +0.0389    0.0348      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    -0.2207    0.0994    +0.4170    0.0132      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       10    -0.0177    0.0711    +0.5706    0.0176      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       11    -0.2613    0.0541    +0.4264    0.0660      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       12    -0.0784    0.2050    -0.0142    0.0256      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       13    +0.1107    0.0805    -0.0765    0.0215      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       14    +0.1496    0.0804    +0.0713    0.0437      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       15    -0.0386    0.1075    +0.0366    0.0136      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       16    +0.7175    0.1162    +0.2706    0.0134      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       17    +0.7227    0.1340    +0.0007    0.0345      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       18    -0.6718    0.0956    +0.1358    0.0188      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       19    -1.6123    0.0920    +0.2205    0.0143      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       20    -0.5725    0.1201    -0.0977    0.0101      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       21    +0.2005    0.1136    +0.0721    0.0159      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       22    +0.4452    0.0762    -0.2112    0.0183      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       23    +0.4432    0.0829    +0.0177    0.0410      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       24    +1.2503    0.1584    +0.0635    0.0348      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       25    -1.5898    0.1078    +0.4773    0.0223      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       26    -1.5084    0.1152    +0.2028    0.0158      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       27    +0.1701    0.1331    -0.1398    0.0093      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       28    +0.1670    0.0346    -0.8802    0.0201      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       29    +0.3229    0.0614    -0.0122    0.0067      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       30    -0.2521    0.0713    +0.1281    0.0743      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       31    -0.3127    0.0384    -0.1509    0.0348      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       32    +0.6852    0.0924    -0.1688    0.0215      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       33    +0.4482    0.1036    -0.3096    0.0135      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       34    +0.3674    0.1327    +0.3094    0.0141      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       35    +0.4519    0.1007    -0.3232    0.0744      8

REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         0    +0.7149    0.2484    -0.0690    0.0490      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         1    +0.4284    0.0623    +0.0275    0.0065      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         2    -0.7551    0.1357    +0.0208    0.0116      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         3    -0.0637    0.1107    -0.0028    0.0102      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         4    +0.3942    0.1257    +0.0315    0.0014      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         5    -0.1322    0.0738    +0.0234    0.0332      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         6    +0.5047    0.0993    -0.0131    0.0143      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         7    +0.3299    0.0873    -0.0003    0.0250      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         8    +0.0008    0.0988    -0.0223    0.0350      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         9    -0.2193    0.0931    -0.0079    0.0142      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        10    -0.0110    0.0703    +0.0104    0.0149      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        11    -0.2362    0.0600    +0.0089    0.0387      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        12    -0.0925    0.2019    -0.0350    0.0286      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        13    +0.1114    0.0788    -0.0249    0.0165      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        14    +0.1750    0.1009    -0.0305    0.0302      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        15    -0.0055    0.1089    +0.0155    0.0113      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        16    +0.7352    0.1241    +0.0205    0.0179      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        17    +0.7371    0.1497    +0.0380    0.0236      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        18    -0.6891    0.0874    -0.0263    0.0167      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        19    -1.5804    0.0841    -0.0149    0.0123      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        20    -0.5459    0.1275    +0.0081    0.0122      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        21    +0.2175    0.1136    +0.0522    0.0156      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        22    +0.4555    0.0823    +0.0615    0.0154      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        23    +0.4584    0.0693    +0.0323    0.0318      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        24    +1.2242    0.1721    -0.0067    0.0328      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        25    -1.5935    0.1035    -0.0134    0.0165      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        26    -1.4971    0.1077    +0.0131    0.0103      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        27    +0.1660    0.1396    +0.0403    0.0054      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        28    +0.1585    0.0300    +0.0188    0.0041      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        29    +0.3105    0.0606    +0.0159    0.0120      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        30    -0.2584    0.0724    +0.0003    0.0794      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        31    -0.3126    0.0336    +0.0057    0.0139      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        32    +0.6676    0.0894    +0.0123    0.0106      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        33    +0.4537    0.1039    +0.0477    0.0050      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        34    +0.3796    0.1077    +0.0820    0.0102      8
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        35    +0.4374    0.1005    +1.0073    0.0638      8

REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +0.4993    0.1421    -1.2840    0.0605      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    -0.0951    0.1126    +0.1795    0.0075      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    +0.1579    0.0944    -0.1052    0.0269      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    +0.1301    0.0939    +0.4040    0.0166      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    +0.4865    0.0958    +0.6026    0.0211      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    +0.6813    0.1093    +0.4916    0.0489      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    -0.3339    0.1590    -0.0190    0.0219      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    -0.1242    0.0685    -0.4982    0.0233      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    -0.1952    0.0755    +0.0488    0.0325      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    -0.8982    0.1465    +0.4171    0.0159      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       10    -1.4842    0.2064    +0.5768    0.0108      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       11    -0.7620    0.1115    +0.4022    0.0565      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       12    +1.4810    0.1307    -0.0666    0.0286      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       13    +1.9252    0.0761    -0.0686    0.0207      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       14    +1.6221    0.1132    +0.0869    0.0454      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       15    -1.0979    0.1580    +0.0418    0.0173      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       16    -1.0018    0.1384    +0.2711    0.0206      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       17    -1.2404    0.1288    -0.0124    0.0259      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       18    +0.8761    0.0445    +0.1485    0.0192      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       19    +1.5984    0.0941    +0.2219    0.0086      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       20    +0.4733    0.1523    -0.0975    0.0117      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       21    +0.1746    0.0971    +0.0672    0.0171      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       22    -0.0369    0.0786    -0.2128    0.0120      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       23    +0.0453    0.1075    +0.0154    0.0322      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       24    -0.5749    0.1792    +0.1000    0.0423      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       25    -0.2152    0.1144    +0.4747    0.0146      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       26    +1.0098    0.1628    +0.2065    0.0194      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       27    +0.5373    0.2115    -0.1245    0.0048      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       28    -0.0831    0.1029    -0.8753    0.0189      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       29    -0.1346    0.0664    -0.0121    0.0088      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       30    -0.1217    0.1187    +0.1250    0.0717      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       31    +0.2493    0.0838    -0.1600    0.0356      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       32    +0.4820    0.0991    -0.1692    0.0184      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       33    -0.2054    0.0976    -0.3068    0.0093      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       34    -0.4201    0.0910    +0.3112    0.0136      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       35    -0.7315    0.0917    -0.4083    0.0615      9

REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         0    +0.4890    0.1556    -0.0660    0.0474      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         1    -0.0995    0.1091    +0.0241    0.0052      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         2    +0.1444    0.1017    +0.0179    0.0118      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         3    +0.1287    0.0908    -0.0054    0.0094      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         4    +0.4851    0.0951    +0.0451    0.0019      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         5    +0.6886    0.1028    +0.0198    0.0322      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         6    -0.3517    0.1527    +0.0007    0.0151      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         7    -0.1510    0.0609    -0.0007    0.0254      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         8    -0.2071    0.0713    -0.0182    0.0364      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal         9    -0.8961    0.1477    -0.0023    0.0135      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        10    -1.4831    0.2032    +0.0121    0.0134      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        11    -0.7286    0.1066    +0.0105    0.0376      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        12    +1.4565    0.1266    -0.0371    0.0316      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        13    +1.9247    0.0766    -0.0216    0.0173      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        14    +1.6332    0.1234    -0.0274    0.0368      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        15    -1.0585    0.1548    +0.0168    0.0116      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        16    -0.9979    0.1396    +0.0195    0.0173      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        17    -1.2322    0.1330    +0.0297    0.0227      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        18    +0.8752    0.0442    -0.0278    0.0157      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        19    +1.6258    0.0863    -0.0107    0.0145      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        20    +0.4893    0.1626    +0.0116    0.0133      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        21    +0.1775    0.0994    +0.0569    0.0168      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        22    -0.0287    0.0754    +0.0625    0.0145      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        23    +0.0669    0.0949    +0.0290    0.0315      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        24    -0.5814    0.1800    -0.0063    0.0309      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        25    -0.2099    0.1190    -0.0097    0.0178      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        26    +1.0191    0.1725    +0.0150    0.0104      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        27    +0.5347    0.2177    +0.0386    0.0049      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        28    -0.0760    0.1039    +0.0203    0.0043      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        29    -0.1373    0.0660    +0.0177    0.0106      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        30    -0.1167    0.1217    -0.0032    0.0703      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        31    +0.2557    0.0826    +0.0016    0.0150      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        32    +0.4776    0.1024    +0.0083    0.0116      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        33    -0.1928    0.1011    +0.0496    0.0043      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        34    -0.3964    0.0734    +0.0817    0.0108      9
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  lcal        35    -0.7440    0.0964    +0.9356    0.0610      9

REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +0.8783    0.0000    -1.3135    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    +0.8662    0.0000    +0.1621    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    +0.1471    0.0000    -0.1066    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    -0.0801    0.0000    +0.4210    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    -0.5274    0.0000    +0.5758    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    -0.9604    0.0000    +0.4915    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    +0.1909    0.0000    -0.0098    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    -0.5963    0.0000    -0.5119    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    -0.2535    0.0000    +0.0992    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    +0.0993    0.0000    +0.4232    0.0000      1
REF_0524-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       10    +0.4331    0.0000    +0.5919    0.0000      1
