# dQ/dU per-beam mean correction factors
# Generated  : 2026-08-01 00:13
# Source CSV : /Users/raj030/DATA/reffield-average/ref_ws-5815-spectra-from-gsm/leakage_master_table.csv
# Selection  : manifest indices 0–7, excl '24-29'
# SB_REFs    : 8 contributing observations
# Ref WS     : 5815  (weights.ref_ws, holography SB)
# Footprint  : square_6x6
# Centre Freq: 1272.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal       30    +0.1012    0.0025    -0.5385    0.0045      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal       31    +0.1371    0.0033    +0.1894    0.0001      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal       32    +0.1367    0.0049    -0.3697    0.0000      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal       33    +0.0930    0.0093    -0.3634    0.0013      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal       34    +0.1043    0.0001    -0.0325    0.0002      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal       35    +0.0795    0.0164    +1.5928    0.0012      2

REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         0    +0.1013    0.0093    +0.0008    0.0007      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         1    +0.0934    0.0101    +0.0015    0.0001      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         2    +0.0927    0.0086    +0.0014    0.0005      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         3    +0.0912    0.0090    +0.0023    0.0001      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         4    +0.0960    0.0129    -0.0011    0.0004      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         5    +0.0827    0.0049    -0.0003    0.0005      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         6    +0.0831    0.0023    +0.0023    0.0006      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         7    +0.0970    0.0098    +0.0024    0.0004      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         8    +0.0975    0.0090    +0.0023    0.0006      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal         9    +0.0994    0.0107    +0.0025    0.0006      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        10    +0.0963    0.0098    +0.0026    0.0009      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        11    +0.0976    0.0069    +0.0000    0.0007      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        12    +0.1102    0.0146    -0.0010    0.0005      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        13    +0.0988    0.0047    +0.0035    0.0004      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        14    +0.1058    0.0078    +0.0035    0.0016      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        15    +0.1082    0.0017    +0.0005    0.0001      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        16    +0.1179    0.0006    -0.0013    0.0008      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        17    +0.0980    0.0060    +0.0052    0.0001      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        18    +0.0989    0.0044    +0.0016    0.0011      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        19    +0.0998    0.0061    +0.0018    0.0000      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        20    +0.0976    0.0105    -0.0012    0.0014      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        21    +0.1397    0.0050    +0.0045    0.0003      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  lcal        22    +0.0959    0.0064    -0.0015    0.0000      2
