# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-24 10:08
# Source CSV : /Users/raj030/DATA/reffield-average-qcorr/leakage_master_table.csv
# Selection  : manifest indices 30–33, excl '24-29'
# SB_REFs    : 4 contributing observations
# Ref WS     : 4788  (weights.ref_ws, holography SB)
# Footprint  : closepack36
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +0.1633    0.1605    -1.3472    0.0004      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    +0.1024    0.0144    +0.1725    0.0006      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    -0.0917    0.0478    -0.0947    0.0008      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    +0.0663    0.0233    +0.3887    0.0011      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    +0.0880    0.0410    +0.5817    0.0026      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    -0.1261    0.0586    +0.5243    0.0029      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    +0.2341    0.0733    -0.0456    0.0087      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    +0.0581    0.0267    -0.4992    0.0008      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    +0.0408    0.0062    +0.0373    0.0022      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    +0.1914    0.1363    +0.4255    0.0055      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       10    +0.1862    0.0752    +0.5810    0.0003      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       11    -0.0711    0.0873    +0.4399    0.0008      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       12    +0.1580    0.0451    -0.0973    0.0005      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       13    -0.0129    0.0373    -0.0878    0.0018      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       14    -0.1385    0.1145    +0.0717    0.0020      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       15    -0.1072    0.0940    +0.0582    0.0011      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       16    +0.1579    0.0986    +0.2877    0.0016      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       17    +0.0798    0.1548    +0.0054    0.0006      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       18    +0.0101    0.0315    +0.1438    0.0000      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       19    +0.0698    0.0050    +0.2170    0.0006      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       20    +0.1150    0.0759    -0.1066    0.0006      2
REF_0324-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       21    +0.0950    0.0767    +0.0744    0.0004      2
