field,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.899562,0.15747,0.00085,0.010307,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,10,-1.4931,0.214852,0.014112,0.012702,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,11,-0.74285,0.104394,0.016725,0.034855,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,12,1.437712,0.121199,-0.041375,0.030934,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,13,1.910725,0.068549,-0.020475,0.018119,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,14,1.643738,0.127533,-0.018775,0.028102,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-1.034875,0.147063,0.0195,0.00896,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,16,-0.991938,0.147963,0.022438,0.015805,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,17,-1.241488,0.139048,0.034075,0.019832,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,18,0.86595,0.036723,-0.030588,0.014063,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,19,1.613925,0.083946,-0.010762,0.015515,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,20,0.508238,0.162797,0.0128,0.013698,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.194225,0.09179,0.057988,0.017637,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,22,-0.028975,0.080614,0.06505,0.013112,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,23,0.058088,0.097426,0.034012,0.0295,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,lcal,24,-0.595338,0.18716,-0.0129,0.025398,8
