# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-20 15:00
# Source CSV : /Users/raj030/DATA/reffield-average/leakage_master_table.csv
# Selection  : manifest indices 14–49, excl '24-29'
# SB_REFs    : 30 contributing observations
# Footprint  : closepack36
# Weights ID : 5241
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : 0.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   footprint   beam footprint name (from schedblock metadata)
#   wt_id       ODC weights ID (weights.id)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     footprint          wt_id  freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       32    +0.4872    0.1047    -0.1727    0.0161      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       33    -0.2056    0.1044    -0.3066    0.0099      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       34    -0.4306    0.0913    +0.3141    0.0110      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       35    -0.7241    0.0951    -0.3936    0.0458      8

REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         0    +0.4789    0.1631    -0.0746    0.0426      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         1    -0.1045    0.1156    +0.0230    0.0043      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         2    +0.1562    0.1019    +0.0198    0.0111      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         3    +0.1271    0.0970    -0.0051    0.0101      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         4    +0.5020    0.0862    +0.0456    0.0013      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         5    +0.6869    0.1097    +0.0245    0.0310      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         6    -0.3608    0.1607    -0.0016    0.0144      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         7    -0.1456    0.0628    +0.0044    0.0216      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         8    -0.2203    0.0633    -0.0100    0.0287      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         9    -0.8996    0.1575    +0.0009    0.0103      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        10    -1.4931    0.2149    +0.0141    0.0127      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        11    -0.7429    0.1044    +0.0167    0.0349      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        12    +1.4377    0.1212    -0.0414    0.0309      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        13    +1.9107    0.0685    -0.0205    0.0181      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        14    +1.6437    0.1275    -0.0188    0.0281      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        15    -1.0349    0.1471    +0.0195    0.0090      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        16    -0.9919    0.1480    +0.0224    0.0158      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        17    -1.2415    0.1390    +0.0341    0.0198      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        18    +0.8659    0.0367    -0.0306    0.0141      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        19    +1.6139    0.0839    -0.0108    0.0155      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        20    +0.5082    0.1628    +0.0128    0.0137      8
