field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.03915,0.044618,-1.7253,0.180595,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,-0.55835,0.152664,0.23355,0.09256,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.52725,0.11844,-0.12995,0.04179,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.2037,0.26064,0.26875,0.017466,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,-0.037,0.235042,0.3967,0.032527,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.28805,0.465771,0.62555,0.079974,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.13685,0.138664,0.0385,0.101682,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.0757,0.100692,-0.5639,0.100551,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.0293,0.086126,0.06735,0.121693,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.04255,0.099066,0.4491,0.018809,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-0.0436,0.011738,0.6523,0.025456,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,0.48945,0.080539,0.39075,0.09652,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.0367,0.121764,0.05735,0.037972,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,-0.1304,0.042851,-0.0509,0.09051,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,0.17795,0.267074,0.20995,0.094682,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.1454,0.438972,-0.05395,0.020577,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.11685,0.121976,0.1578,0.018385,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,-0.12205,0.070074,-0.0187,0.043275,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,-0.1712,0.509683,0.1124,0.006223,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,1.3174,0.067741,0.2877,0.025456,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.7428,0.357089,-0.1408,0.055013,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,-0.1809,0.151604,-0.06475,0.033305,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.34385,0.105995,-0.2742,0.037335,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,-0.0509,0.040729,-0.1292,0.132229,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,0.61785,0.015061,0.2854,0.004101,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,0.9066,0.048508,0.3465,0.038749,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,1.8977,0.022345,0.219,0.009758,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.84815,0.006718,-0.16385,0.030476,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,0.08015,0.229315,-0.7061,0.014566,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.518,0.346624,0.0235,0.0239,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,0.40375,0.308086,0.3071,0.040164,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,0.4183,0.187666,0.09665,0.039386,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.7258,0.00099,0.02565,0.036133,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,0.0992,0.047093,-0.26925,0.057205,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,0.35905,0.059892,0.16295,0.077145,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,0.2091,0.007637,-1.40815,0.214324,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,0,-0.0039,0.001838,0.1249,0.178898,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,1,-0.55845,0.162422,0.05225,0.068236,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,2,-0.5333,0.124451,0.01085,0.0507,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.21745,0.270044,-0.0029,0.020506,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,4,-0.0503,0.247205,0.01735,0.005162,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,5,0.27915,0.477226,-0.0362,0.059397,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,6,-0.1555,0.102955,0.06385,0.086338,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,7,-0.0794,0.083297,0.10175,0.079974,2
REF_0612-28,5316,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.0585,0.087116,0.06245,0.087752,2
