field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,7,-0.011975,0.044815,-0.011175,0.000479,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.0246,0.076586,-0.036425,0.00064,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.0577,0.04671,-0.0069,0.000663,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,10,0.0243,0.046346,0.016775,0.000858,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,11,0.05265,0.054207,0.033875,0.00264,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,12,-0.163275,0.109987,-0.05995,0.000785,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,13,-0.0201,0.070493,-0.034375,0.000718,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,14,-0.003125,0.053109,-0.030125,0.001668,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-0.039725,0.054214,0.0245,0.001615,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.1053,0.015475,0.031575,0.001132,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.13635,0.025056,0.055625,0.001396,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,18,-0.0277,0.079859,-0.034075,0.000519,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,19,0.03785,0.096743,-0.02415,0.00275,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,20,-0.016375,0.143214,0.00275,0.001535,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.10675,0.040799,0.06605,0.000311,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,22,0.0487,0.09039,0.074725,0.001312,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,23,-0.0125,0.011667,0.0573,0.001111,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,24,0.022075,0.165778,-0.029975,0.003296,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-0.08055,0.082511,-0.021125,0.001533,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,26,-0.01795,0.086286,0.003825,0.001234,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.09495,0.09627,0.038325,0.001266,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,28,-0.0273,0.031483,0.015775,0.000995,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,29,-0.0173,0.076147,0.014125,0.001138,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.031175,0.061408,-0.031,0.001467,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,31,-0.006675,0.039399,0.01745,0.001576,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,32,-0.063025,0.058348,0.01795,0.001471,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,33,-0.060075,0.048678,0.047125,0.001782,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,34,-0.062625,0.046835,0.08055,0.000874,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,35,0.0059,0.097456,1.0583,0.006463,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.08425,0.135829,-1.338175,0.01118,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.09665,0.055533,0.173475,0.001725,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.082,0.030225,-0.087575,0.008474,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,0.08085,0.024148,0.3945,0.007733,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.018075,0.105012,0.591625,0.012534,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.096575,0.081568,0.529325,0.007433,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.1255,0.134119,-0.041225,0.007176,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.0473,0.02067,-0.4997,0.000698,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,0.055525,0.026406,0.03255,0.006565,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,0.0863,0.146307,0.427775,0.004152,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,0.142125,0.066901,0.58255,0.002009,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.05825,0.054046,0.45375,0.019383,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,0.075725,0.120619,-0.0928,0.006207,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,0.044575,0.070023,-0.082025,0.008178,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,-0.053375,0.129819,0.070175,0.002371,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.1208,0.05729,0.0504,0.010081,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.120125,0.071746,0.28895,0.001708,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.0663,0.090814,0.010575,0.007691,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.00665,0.02436,0.151075,0.009431,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,0.071575,0.017837,0.22305,0.008017,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.12645,0.046131,-0.1038,0.003687,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.05325,0.084996,0.077725,0.004229,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.024875,0.109925,-0.211275,0.006847,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,-0.0884,0.073138,0.047175,0.008271,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,0.1547,0.102288,0.067675,0.004455,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,0.098775,0.016405,0.484525,0.008181,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,0.081425,0.047245,0.19125,0.00812,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.170725,0.040492,-0.121125,0.002862,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,0.088625,0.048271,-0.888425,0.004176,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.047625,0.052579,-0.0174,0.004858,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.04475,0.115941,0.1225,0.001203,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,-0.033125,0.089596,-0.12425,0.003855,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.0072,0.05298,-0.158175,0.005742,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,-0.059025,0.118726,-0.2988,0.006655,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,-0.06235,0.09493,0.30975,0.008773,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,0.0498,0.042401,-0.35245,0.009505,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.090725,0.14647,-0.113425,0.000918,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.09845,0.047521,0.01925,0.00087,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,2,-0.098325,0.029684,0.02955,0.000311,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,3,0.07575,0.024352,-0.010975,0.001287,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.020525,0.107795,0.04645,0.001223,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,5,-0.083725,0.073943,0.0466,0.001687,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,6,0.1033,0.118245,-0.013575,0.001676,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,7,0.0106,0.019393,-0.0143,0.000748,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,8,0.037625,0.02648,-0.036375,0.000427,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,9,0.08705,0.148032,-0.00055,0.001012,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,10,0.137725,0.069555,0.01775,0.001041,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,11,-0.005,0.059881,0.0404,0.000942,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,12,0.0501,0.120613,-0.0699,0.002183,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,13,0.0407,0.076001,-0.032925,0.000818,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,14,-0.047,0.114955,-0.039675,0.000741,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-0.062875,0.060747,0.02735,0.000933,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.125275,0.077528,0.0336,0.000245,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.08145,0.090407,0.049325,0.001531,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,18,0.00675,0.023265,-0.037075,0.000695,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,19,0.097975,0.020002,-0.02395,0.000705,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,20,0.154875,0.049605,0.00315,0.00124,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.05465,0.086443,0.073375,0.000907,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,22,-0.0165,0.108307,0.076075,0.00064,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,23,-0.052525,0.070832,0.057125,0.001475,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,24,0.1464,0.099289,-0.032725,0.000826,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,25,0.108425,0.017894,-0.018425,0.00141,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,26,0.102175,0.050309,0.0047,0.001098,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.17245,0.037223,0.039275,0.001069,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,28,0.098775,0.044975,0.0165,0.001074,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,29,-0.0494,0.047132,0.015775,0.000714,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.037975,0.111902,-0.033375,0.000888,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,31,-0.024325,0.087251,0.016525,0.001021,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,32,0.006475,0.058036,0.017175,0.000896,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,33,-0.04665,0.124003,0.050375,0.000465,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,34,-0.0076,0.095582,0.0797,0.001349,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,35,0.05325,0.037408,0.99215,0.004684,4
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.03445,0.109672,-1.3006,0.007354,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.00775,0.028921,0.17965,0.003182,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.03865,0.01195,-0.0623,0.003253,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.03455,0.007,0.43015,0.004172,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.00715,0.108824,0.63015,0.011526,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.01445,0.057488,0.54615,0.001909,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.02385,0.045467,-0.0372,0.00099,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.01815,0.021284,-0.5137,0.002121,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.08655,0.020294,0.00085,0.00502,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.03515,0.002899,0.4248,0.001838,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-0.05315,0.014496,0.602,0.006647,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.051,0.096167,0.4939,0.042709,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,0.03665,0.112642,-0.00595,0.005445,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,-0.02755,0.040941,-0.05845,0.005728,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,-0.05,0.046528,0.059,0.001556,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.04895,0.011384,0.0088,0.007637,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,-0.0113,0.003253,0.2674,0.003677,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.0344,0.053316,0.02915,0.002051,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.019,0.02885,0.1798,0.007637,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,-0.0479,0.010607,0.25475,0.009263,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,-0.0061,0.069014,-0.09665,0.000212,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,-0.03295,0.01393,0.0921,0.004808,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.0159,0.091075,-0.2022,0.000424,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.05875,0.023829,0.07465,0.007425,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,0.1016,0.052609,0.11185,0.008132,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-0.0391,0.016971,0.515,0.012162,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,-0.05315,0.099349,0.22585,0.00997,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,-0.01865,0.102743,-0.1248,0.000707,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,-0.06665,0.052255,-0.87465,0.000636,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.0011,0.00495,-0.0027,0.002404,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.03655,0.016617,0.1307,0.000141,2
REF_1212-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,-0.04055,0.359564,-0.09935,0.008273,2
