field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.3318,0.0,-1.8499,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.712,0.0,0.3577,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.9751,0.0,-0.0998,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.2804,0.0,0.4045,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.6996,0.0,0.5939,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.1301,0.0,0.6781,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.0499,0.0,0.1518,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.2377,0.0,-0.4959,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,0.0284,0.0,0.1273,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.0105,0.0,0.551,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,0.2012,0.0,0.8207,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.4196,0.0,0.427,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.2526,0.0,-0.003,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,-0.1522,0.0,-0.0369,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,0.203,0.0,0.2367,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.0807,0.0,0.1427,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.7317,0.0,0.2549,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.7466,0.0,0.2063,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,-2.0863,0.0,0.0518,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,-1.4569,0.0,0.3319,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,-0.6323,0.0,-0.0181,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.4759,0.0,0.0387,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,0.6274,0.0,-0.2753,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.6899,0.0,0.0121,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,0.7624,0.0,0.1807,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-1.4184,0.0,0.4813,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,-1.4697,0.0,0.3441,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.2631,0.0,-0.1228,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,-0.0605,0.0,-0.6016,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,0.4195,0.0,0.0984,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.4865,0.0,0.2345,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,-0.2671,0.0,0.0493,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.583,0.0,0.0128,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,0.4926,0.0,-0.1755,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,0.4664,0.0,0.3309,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,0.4546,0.0,-0.918,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.3217,0.0,-0.0072,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.7033,0.0,0.0047,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,2,-0.9757,0.0,0.0019,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.2796,0.0,0.0003,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.6954,0.0,-0.003,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,5,0.1289,0.0,-0.0019,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,6,-0.054,0.0,-0.0079,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,7,0.2368,0.0,-0.0021,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,8,0.0266,0.0,-0.0015,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.0103,0.0,-0.0049,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,10,0.2003,0.0,-0.0006,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,11,-0.4152,0.0,0.0042,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,12,-0.252,0.0,0.0011,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,13,-0.1492,0.0,-0.002,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,14,0.21,0.0,-0.0001,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-0.0743,0.0,0.0068,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.7346,0.0,0.0008,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.7533,0.0,-0.0032,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,18,-2.0942,0.0,-0.0035,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,19,-1.4501,0.0,-0.0033,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,20,-0.6289,0.0,-0.005,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.4824,0.0,-0.0008,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,22,0.6288,0.0,-0.0045,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,23,0.699,0.0,-0.0046,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,24,0.7552,0.0,-0.0013,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-1.4191,0.0,-0.0038,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,26,-1.4635,0.0,-0.0027,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.2626,0.0,-0.0055,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,28,-0.0646,0.0,-0.0062,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,29,0.4157,0.0,-0.0085,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.4881,0.0,-0.0047,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,31,-0.2693,0.0,-0.0024,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,32,0.5762,0.0,-0.0044,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,33,0.487,0.0,-0.0078,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,34,0.4622,0.0,-0.0072,0.0,1
REF_0236-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,35,0.4565,0.0,-0.0071,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.5105,0.0,-1.8576,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,-0.4402,0.0,0.3627,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.112,0.0,-0.1036,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.3749,0.0,0.3921,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.1316,0.0,0.5906,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.9226,0.0,0.6819,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.1481,0.0,0.1238,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.1917,0.0,-0.502,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.229,0.0,0.1253,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.9088,0.0,0.5488,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-0.9809,0.0,0.8321,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,0.1189,0.0,0.4207,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,1.466,0.0,-0.0294,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,2.0773,0.0,-0.0407,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,1.0707,0.0,0.2358,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-1.0973,0.0,0.142,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,-1.0122,0.0,0.2496,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,-1.5475,0.0,0.2134,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.9422,0.0,0.0405,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,1.6532,0.0,0.3284,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.7252,0.0,-0.0165,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.2484,0.0,0.0365,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,0.0044,0.0,-0.2793,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.0109,0.0,-0.0098,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,-0.2803,0.0,0.1731,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,0.1157,0.0,0.4828,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,0.9227,0.0,0.3561,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.6842,0.0,-0.1246,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,0.0776,0.0,-0.6054,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.0864,0.0,0.0876,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.1989,0.0,0.2339,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,0.2597,0.0,0.0677,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.2578,0.0,0.0354,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,-0.1144,0.0,-0.1704,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,-0.334,0.0,0.3453,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,-0.1952,0.0,-0.9307,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.4896,0.0,-0.0046,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,1,-0.4495,0.0,-0.0008,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,2,0.0993,0.0,-0.0005,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.3907,0.0,-0.0057,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.1176,0.0,0.0072,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,5,0.8978,0.0,0.0006,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,6,0.1377,0.0,-0.0008,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,7,-0.2268,0.0,-0.0054,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.2526,0.0,-0.0029,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.9315,0.0,-0.0045,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,10,-0.9995,0.0,-0.0048,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,11,0.1063,0.0,-0.0039,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,12,1.4517,0.0,-0.0061,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,13,2.0643,0.0,-0.0048,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,14,1.058,0.0,-0.0006,0.0,1
REF_0324-28,5778,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-1.1086,0.0,0.0011,0.0,1
