# dQ/dU per-beam mean correction factors
# Generated  : 2026-07-12 20:16
# Source CSV : /Users/raj030/DATA/reffield-average/ref_ws-5778-spectra-from-gsm/leakage_master_table.csv
# Selection  : manifest indices 0–5, excl '24-29'
# SB_REFs    : 6 contributing observations
# Ref WS     : 5778  (weights.ref_ws, holography SB)
# Footprint  : closepack36
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +1.0898    0.0000    -1.8184    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    +0.6906    0.0000    +0.3664    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    +0.0843    0.0000    -0.0792    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    -0.4082    0.0000    +0.4161    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    -0.4640    0.0000    +0.6067    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    -1.0227    0.0000    +0.6753    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    +0.4445    0.0000    +0.1349    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    -0.2193    0.0000    -0.4794    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    -0.1771    0.0000    +0.1470    0.0000      1
REF_0524-28                 5778  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    +0.2310    0.0000    +0.5545    0.0000      1
